NOMBRE EST.,BIC. DISPONIBLES,DIR.
481624f3-9377-4dfd-a5dd-de05a7fef760,5,4103
581bc4fe-cf14-4767-8377-6fa156ff8a29,18,3961
1862008701134683118,11,1862008701134683118
1b038e21-e199-4c47-bef0-f4bcdc06b73b,18,4407
ebae0b66-e463-4ded-9b7a-43c0aca9b37a,9,3931
9af90faf-0b9b-451b-9cb0-20ff421ca1d9,4,4153
2e66af7d-bcdd-441f-9f7e-7e17f5c9275e,12,4945
1786697771181570266,42,1786697771181570266
93da4d1b-d574-45b0-85d7-5b82e2887267,20,4398
d45b62b9-7d6b-43b2-bf1e-2c898c55dfd2,6,4471
b896d83d-5524-4c9c-a2aa-c1b0edaadc22,16,4083
66dd45c7-0aca-11e7-82f6-3863bb44ef7c,40,3148
66dbcbbc-0aca-11e7-82f6-3863bb44ef7c,60,363
765ee572-6c7a-4ed3-a2d4-f1496ea53996,19,4550
1849009654626746672,22,1849009654626746672
1828967979464708718,5,1828967979464708718
d040a7b3-85b5-4c0d-9c92-3f4ad0082143,5,4308
66de4bbb-0aca-11e7-82f6-3863bb44ef7c,17,3398
5526b855-dc09-4159-a20a-99651861a481,22,4346
66dd5407-0aca-11e7-82f6-3863bb44ef7c,37,3178
66dd3d7f-0aca-11e7-82f6-3863bb44ef7c,19,3131
66dd26f9-0aca-11e7-82f6-3863bb44ef7c,21,3127
a4d041fd-c5fa-4f52-800c-25d7a661a875,22,4017
6542d952-ca19-410e-9290-ee6b7a6e14cf,18,4567
66dd1f44-0aca-11e7-82f6-3863bb44ef7c,35,3113
0de1f95f-8b1b-4e5e-9eff-73c63265b0ab,14,4329
162d5859-b735-4ff7-9613-01b21f22c1cd,15,4665
66dba303-0aca-11e7-82f6-3863bb44ef7c,8,343
66de677e-0aca-11e7-82f6-3863bb44ef7c,34,3424
66dde76a-0aca-11e7-82f6-3863bb44ef7c,15,3299
d73e26de-8534-4b46-a321-3cae295ef9b2,21,4059
ff745407-c087-4c0d-a965-98baf078f292,40,4878
c606bae0-889c-47c3-8202-9463ef147655,22,5060
66ddec3e-0aca-11e7-82f6-3863bb44ef7c,38,3310
66dd4d70-0aca-11e7-82f6-3863bb44ef7c,46,3166
66de71af-0aca-11e7-82f6-3863bb44ef7c,18,3429
33840944-aa92-4d91-9de8-d29e5cd0b2d9,34,4482
b4a320d6-2611-4940-96ca-17fb297ec826,2,4114
ec42fb3a-af54-46aa-a8b3-b17d72ed4475,24,3586
475c44e1-31e3-4c60-b071-af2ca3f7618c,29,4915
bbc3c1df-f7db-4f54-8d5c-b8f4269ecb48,29,5068
1869753654337059182,21,1869753654337059182
d5cabb43-6c78-4022-964e-a8b02470509e,28,5028
1960019951675478680,16,1960019951675478680
1900660954723519204,32,1900660954723519204
7f402242-dc1b-4a48-ba21-58c4fa7216b4,22,4950
66dea7b5-0aca-11e7-82f6-3863bb44ef7c,3,3459
1862002854876824190,10,1862002854876824190
1871698223344654662,20,1871698223344654662
c4e9905f-457b-4be0-a878-2aa53fa0b09b,7,3779
3d68a3fd-91da-49e8-9cd5-69b333863789,6,4456
0fa27bd7-b182-4e7a-b5bb-90f4249cb368,16,3577
66dd4ec7-0aca-11e7-82f6-3863bb44ef7c,56,3169
82c85f05-4722-48ae-9f64-0522012eb3c8,17,4184
1840540852548303628,11,1840540852548303628
549b5bc4-b949-4eeb-8ffb-2215e1e49892,71,4281
1905837242740508940,6,1905837242740508940
66dd515d-0aca-11e7-82f6-3863bb44ef7c,4,3172
633fbc4c-7617-47ba-a393-aad7a8d26a3e,5,3676
566a6389-5c22-49ca-8c24-4d9eea135170,12,4393
1880643645302280466,22,1880643645302280466
99614ecb-2329-49fa-a13a-fa1ef2bb32d6,14,4201
1f8f6714-42a7-45d5-86cd-a093c940b2c9,6,4635
372c592e-09d8-400c-9595-2aa3510f39b0,15,3846
1859808514684217788,21,1859808514684217788
cb9840a3-4ae2-420d-865c-9ac45e2f5485,11,4019
66dd1c7f-0aca-11e7-82f6-3863bb44ef7c,72,3108
ab6aadd8-fa45-43aa-abea-c8e01ec5a0c8,10,3757
66de0d91-0aca-11e7-82f6-3863bb44ef7c,24,3335
1835618878584115330,28,1835618878584115330
66de12ff-0aca-11e7-82f6-3863bb44ef7c,35,3343
9635affa-8b18-42d5-84c4-7f67ad5ef9d0,12,3922
4e747443-d481-4aea-a6d1-cf20204af4ba,9,4175
7dda8844-60ba-4449-b05c-54c1d14ab5fb,33,4689
0f45bcf6-7028-4584-a51e-4129847dbebc,1,3905
1869743938848725856,5,1869743938848725856
c3189056-8eda-4278-891f-e8e15c2d759a,8,3537
59af018a-2ee9-489a-b445-bb6fba9c1119,5,4054
66dce8db-0aca-11e7-82f6-3863bb44ef7c,45,3074
